scenario,taskCount,totalCpuTime,totalWaitTime,avgStartTime,avgExecutionTime,avgFinishTime,throughput,makespan,imbalanceDegree,resourceUtilization,totalEnergy
Baseline_Random,1000,466475.1200,0.0000,0.3000,466.4751,466.7751,1.0256,975.0330,2.329648,8.859626,3510118.8000
MOWS,1000,472263.5390,0.0000,0.3000,472.2635,472.5635,1.0351,966.0680,2.387938,9.052801,3477844.8000
Baseline_Random,2000,1118454.9330,0.0000,0.3000,559.2275,559.5275,1.8504,1080.8190,1.506334,19.163364,3890948.4000
MOWS,2000,1117901.9880,0.0000,0.3000,558.9510,559.2510,1.6903,1183.1880,1.535670,17.496703,4259476.8000
Baseline_Random,3000,2118481.0960,0.0000,0.3000,706.1604,706.4604,2.4536,1222.6800,0.975217,32.086181,4401648.0000
MOWS,3000,2122242.0470,0.0000,0.3000,707.4140,707.7140,2.1871,1371.6610,1.039249,28.651962,4937979.6000
Baseline_Random,4000,3511452.7230,0.0000,0.3000,877.8632,878.1632,2.4250,1649.5020,1.002915,39.422142,5938207.2000
MOWS,4000,3520971.8650,0.0000,0.3000,880.2430,880.5430,2.4985,1600.9640,0.999341,40.727451,5763470.4000
Baseline_Random,5000,5295868.2990,0.0000,0.3000,1059.1737,1059.4737,2.7078,1846.5240,1.046000,53.111487,6647486.4000
MOWS,5000,5291122.5120,0.0000,0.3000,1058.2245,1058.5245,2.5432,1966.0000,1.064997,49.839140,7077600.0000
Baseline_Random,6000,7384299.5950,0.0000,0.3000,1230.7166,1231.0166,2.7512,2180.8370,1.005918,62.703581,7851013.2000
MOWS,6000,7390011.8730,0.0000,0.3000,1231.6686,1231.9686,2.7786,2159.3860,0.954693,63.375456,7773789.6000
Baseline_Random,7000,9969674.7900,0.0000,0.3000,1424.2393,1424.5393,2.6212,2670.5350,0.958231,69.133566,9613926.0000
MOWS,7000,9947632.3570,0.0000,0.3000,1421.0903,1421.3903,2.8771,2432.9680,0.960454,75.716332,8758684.8000
Baseline_Random,8000,12765110.7480,0.0000,0.3000,1595.6388,1595.9388,3.0998,2580.8030,0.621651,91.595887,9290890.8000
MOWS,8000,12809714.5090,0.0000,0.3000,1601.2143,1601.5143,2.9419,2719.3250,0.833283,87.233757,9789570.0000
Baseline_Random,9000,16056342.3540,0.0000,0.3000,1784.0380,1784.3380,3.0468,2953.8870,0.681215,100.660477,10633993.2000
MOWS,9000,15992637.6610,0.0000,0.3000,1776.9597,1777.2597,3.1896,2821.7040,0.701818,104.957840,10158134.4000
Baseline_Random,10000,19731602.7460,0.0000,0.3000,1973.1603,1973.4603,3.0994,3226.4640,0.699776,113.250931,11615270.4000
MOWS,10000,19678400.4160,0.0000,0.3000,1967.8400,1968.1400,3.1952,3129.6550,0.654989,116.439295,11266758.0000
